Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
1,110,42,11,10,0.41659779,4.004542875
2,115,45,12.04159458,10.63014581,0.469776176,4.196271637
3,110,44,11.3137085,10.63014581,0.342326598,4.195235393
4,113,44,12,10,0.552770798,4.139171821
5,194,69,21,11,0.85183542,4.953911294
7,114,44,12.04159458,10.63014581,0.469776176,4.120977571
9,113,44,12,10,0.552770798,4.139171821
12,458,195,46.09772229,28.42534081,0.787251361,9.111751614
15,112,43,11,11,0,4.063118085
21,131,49,13,11,0.53293871,4.281149878
29,149,53,14,12,0.515078754,4.341929179
32,191,69,18.38477631,12.04159458,0.755649335,4.992664777
35,143,50,13,12,0.384615385,4.18121005
42,570,106,42,16,0.924594659,4.439851428
46,146,50,13,12,0.384615385,4.138029443
50,145,50,13,12,0.384615385,4.152273993
65,285,93,26.87005769,14.14213562,0.85028918,5.508844563
70,171,60,13.45362405,13.45362405,0,4.588314677
80,542,153,33.10589071,28.63564213,0.5018215,7.001449507
86,316,96,27.29468813,16.2788206,0.802680075,5.400421924
89,624,170,53,22,0.909778374,6.805446537
94,377,108,29.42787794,19.23538406,0.75680134,5.562282988
99,203,59,16,14,0.484122918,4.140988197
100,447,114,34,23,0.736469649,5.392014976
111,360,106,31.06444913,16.1245155,0.854733846,6.11373681
121,181,59,16,14,0.484122918,4.385435463
122,322,85,21.84032967,17.72004515,0.584567428,4.736864807
129,391,117,31.144823,19.10497317,0.789753974,6.422666065
146,230,66,17.88854382,15.65247584,0.484122918,4.351911124
147,241,137,51.92301994,20.88061302,0.915575738,8.824945782
157,353,98,27.78488798,18.86796226,0.734070912,6.014383138
158,441,100,35.22782991,18.02775638,0.859135859,4.761904762
223,323,96,31.144823,14.03566885,0.892696598,6.565695632
253,422,126,33.30165161,17.80449381,0.845078043,6.133584032
259,231,66,19,14,0.676064873,4.342481187
263,311,78,21,18,0.515078754,4.422974222
326,136,93,34,22,0.762440082,7.974684209
329,439,109,30.14962686,21.09502311,0.714458568,5.202286163
354,523,117,34.4818793,19.72308292,0.820264783,6.078045625
358,462,117,32.89376841,20.24845673,0.78808127,6.141195789
363,142,90,28.65309756,20.59126028,0.695382368,7.552632225
386,529,103,31,20,0.764046405,4.47826087
395,508,103,31.95309062,21.54065923,0.738609223,4.569886023
396,503,109,33.54101966,18.24828759,0.839047079,4.860069787
399,524,111,32.24903099,21.9544984,0.732487858,4.849057514
404,486,100,26.92582404,21.84032967,0.584866622,4.536092116
409,526,145,39.29376541,22.8035085,0.814378558,6.322300443
420,474,103,29,21,0.689655172,4.730946685
428,453,92,26,20,0.638971066,4.322537069
432,452,92,25,21,0.542586399,4.327315995
435,465,99,26.87005769,21.21320344,0.61378441,4.591015068
444,494,100,27.78488798,23.32380758,0.543448974,4.499212707
450,543,105,28,23,0.570311408,4.505981292
451,481,96,26.57066051,21.1896201,0.603342907,4.377223225
454,456,92,24,22,0.399652627,4.308294733
455,452,94,26,21,0.58960422,4.421388081
456,647,134,35.84689666,28.65309756,0.600907226,5.268083598
457,472,93,25,22,0.474973683,4.280671973
459,496,97,28,21,0.661437828,4.355428574
460,462,96,27.65863337,20.61552813,0.666666667,4.46632421
461,493,101,27.78488798,21.9544984,0.612901027,4.548811226
462,1071,187,48.46648326,36.05551275,0.668261184,5.714087298
463,462,95,26.87005769,21.21320344,0.61378441,4.419799999
464,483,94,25,22,0.474973683,4.277148099
4,210,80,18.02775638,16.15549442,0.443760157,5.520524475
77,808,169,72,22,0.95217425,5.945399253
87,240,65,16,16,0,4.195731958
171,290,168,42.19004622,30.06659276,0.701523222,11.92057046
285,285,77,21.9544984,16.1245155,0.678661118,4.561086359
288,484,120,31,22,0.704526763,5.454545455
337,510,94,26.92582404,23.40939982,0.494103158,4.162389962
339,759,147,70,15,0.976771024,5.335761964
344,692,114,39.29376541,21.84032967,0.831301495,4.333629751
347,238,166,52,35,0.739572482,10.76018181
355,273,71,21,15,0.699854212,4.297115482
372,488,109,32.80243893,21.63330765,0.75170191,4.934198159
416,740,127,42.10700654,23.08679276,0.836289174,4.66861285
438,299,78,24.08318916,13.15294644,0.837689762,4.510856469
443,502,104,38.01315562,25.61249695,0.738932176,4.641747164
480,893,113,52,24,0.8871202,3.78140082
508,819,125,42.20189569,25.8069758,0.791234971,4.367853486
551,676,123,35.17101079,23.76972865,0.737054813,4.730769231
581,633,132,41.10960958,24.8394847,0.796813179,5.246528981
588,362,88,23.60084744,18.02775638,0.645381326,4.625177315
