Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Well Segmented
1,209,71,18.60107524,15,0.591363664,1
2,224,79,19.41648784,15.8113883,0.580405054,1
3,263,87,24.16609195,15.65247584,0.761892021,1
4,204,76,25.45584412,12.04159458,0.881041752,1
5,229,81,20.61552813,15.5241747,0.657982657,1
6,150,52,13,12,0.384615385,1
7,243,90,26.92582404,13.60147051,0.863033943,1
8,188,58,17.2626765,12.16552506,0.709475655,1
9,252,84,20.80865205,15,0.693086946,1
10,284,90,28.01785145,13.03840481,0.885121173,1
11,152,54,13.60147051,13,0.294085849,1
12,157,56,15.5241747,12.36931688,0.604272478,1
13,171,61,16.2788206,13.15294644,0.589211177,1
14,155,54,15,12,0.6,1
15,186,61,16,14,0.484122918,1
16,317,98,30.87069808,13.41640786,0.900623545,1
17,164,54,14,13,0.371153744,1
18,246,79,18.60107524,16.64331698,0.446566865,1
19,191,61,15.62049935,13.45362405,0.508130614,1
20,188,62,17,14,0.567273574,1
21,161,56,15,13,0.498887652,1
22,164,52,13,13,0,1
23,176,58,14.76482306,13.89244399,0.338642731,1
24,175,55,15,13,0.498887652,1
25,159,55,13.92838828,13,0.358979079,1
26,171,56,14,13,0.371153744,1
27,172,56,16.1245155,12.52996409,0.629407536,1
28,157,53,13.92838828,13,0.358979079,1
29,168,59,16.15549442,13,0.593709038,1
30,170,56,15.55634919,12.72792206,0.574959575,1
31,155,52,14.14213562,12.72792206,0.435889894,1
32,164,52,13,13,0,1
33,170,56,15.8113883,13.60147051,0.509901951,1
34,317,98,23.43074903,19.84943324,0.531348767,1
35,216,64,19,13,0.729284551,1
36,251,77,22,15,0.731521679,1
37,162,52,13,13,0,1
38,179,58,15.55634919,14.14213562,0.41659779,1
39,171,55,15,13,0.498887652,1
40,166,54,14,13,0.371153744,1
41,210,63,18.24828759,15.13274595,0.558849096,1
42,186,58,15,14,0.359010987,1
43,179,57,18.02775638,13.60147051,0.656330123,1
44,320,112,31.04834939,16.4924225,0.84725576,1
45,164,53,15,12,0.6,1
46,199,62,17,14,0.567273574,1
47,154,54,16.15549442,12.08304597,0.663786884,1
48,251,77,22.627417,15.55634919,0.726184377,1
49,188,60,16.2788206,13.45362405,0.563010774,1
50,218,67,18.38477631,14.76482306,0.595843592,1
51,322,96,29.15475947,15.03329638,0.856806657,1
52,224,69,18.02775638,16.03121954,0.4574175,1
53,275,88,25.3179778,16.2788206,0.76588737,1
54,201,60,18.78829423,13.41640786,0.700060702,1
55,213,68,16.40121947,15,0.404436365,1
56,223,68,19,15,0.61378441,1
57,210,67,15.55634919,14.14213562,0.41659779,1
58,190,60,15,14,0.359010987,1
59,347,108,31.2409987,15.62049935,0.866025404,1
60,220,67,17.08800749,15.23154621,0.453298414,1
61,205,61,17,14,0.567273574,1
62,210,62,17,14,0.567273574,1
63,220,63,17.4642492,15.5241747,0.458078667,1
64,220,68,17.69180601,14.86606875,0.54215285,1
65,246,71,18.35755975,15.26433752,0.555522584,1
66,205,60,15,15,0,1
67,224,67,19,15,0.61378441,1
68,225,69,18.43908891,14.86606875,0.591607978,1
69,274,74,21.9544984,14.76482306,0.740079619,1
70,220,63,15.5241747,14.86606875,0.288075601,1
71,214,62,16,15,0.347985273,1
72,242,69,19.79898987,15.55634919,0.618589574,1
73,219,65,17.49285568,14.76482306,0.536266444,1
74,221,64,17,15,0.470588235,1
75,207,62,15,15,0,1
76,222,62,16,15,0.347985273,1
77,218,65,18.38477631,14.14213562,0.638971066,1
78,201,61,16,15,0.347985273,1
79,230,69,18.24828759,16.1245155,0.468208521,1
80,216,60,16,14,0.484122918,1
81,315,86,32.01562119,16.76305461,0.851970456,1
82,233,70,16.97056275,14.86606875,0.482326538,1
83,226,66,17,16,0.33791545,1
84,229,66,17,16,0.33791545,1
85,244,69,18,16,0.458122847,1
86,205,63,18,14,0.628539361,1
87,238,68,19,16,0.539313198,1
88,236,68,18.02775638,15,0.554700196,1
89,408,117,30.47950131,23.43074903,0.639563899,1
90,224,67,15.8113883,15.8113883,0,1
91,321,105,30.8058436,16.64331698,0.841494982,1
